source,target,edge,source_group,source_color,source_size,target_group,target_color,target_size
MlleGillenormand,MlleVaubois,1,5,#ff7f00,94.0,5,#ff7f00,10.0
MlleGillenormand,LtGillenormand,2,5,#ff7f00,94.0,5,#ff7f00,52.0
Gillenormand,LtGillenormand,1,5,#ff7f00,94.0,5,#ff7f00,52.0
Cosette,LtGillenormand,1,5,#ff7f00,150.0,5,#ff7f00,52.0
MlleGillenormand,Marius,6,5,#ff7f00,94.0,5,#ff7f00,262.0
Gillenormand,Marius,12,5,#ff7f00,94.0,5,#ff7f00,262.0
Pontmercy,Marius,1,5,#ff7f00,38.0,5,#ff7f00,262.0
LtGillenormand,Marius,1,5,#ff7f00,52.0,5,#ff7f00,262.0
Cosette,Marius,21,5,#ff7f00,150.0,5,#ff7f00,262.0
Valjean,Marius,19,2,#377eb8,500.0,5,#ff7f00,262.0
Tholomyes,Marius,1,3,#4daf4a,122.0,5,#ff7f00,262.0
Thenardier,Marius,2,4,#984ea3,220.0,5,#ff7f00,262.0
Eponine,Marius,5,4,#984ea3,150.0,5,#ff7f00,262.0
Gavroche,Marius,4,6,#ffff33,304.0,5,#ff7f00,262.0
Gillenormand,BaronessT,1,5,#ff7f00,94.0,5,#ff7f00,24.0
Marius,BaronessT,1,5,#ff7f00,262.0,5,#ff7f00,24.0
Marius,Mabeuf,1,5,#ff7f00,262.0,6,#ffff33,150.0
Eponine,Mabeuf,1,4,#984ea3,150.0,6,#ffff33,150.0
Gavroche,Mabeuf,1,6,#ffff33,304.0,6,#ffff33,150.0
Marius,Enjolras,7,5,#ff7f00,262.0,6,#ffff33,206.0
Gavroche,Enjolras,7,6,#ffff33,304.0,6,#ffff33,206.0
Javert,Enjolras,6,4,#984ea3,234.0,6,#ffff33,206.0
Mabeuf,Enjolras,1,6,#ffff33,150.0,6,#ffff33,206.0
Valjean,Enjolras,4,2,#377eb8,500.0,6,#ffff33,206.0
Enjolras,Combeferre,15,6,#ffff33,206.0,6,#ffff33,150.0
Marius,Combeferre,5,5,#ff7f00,262.0,6,#ffff33,150.0
Gavroche,Combeferre,6,6,#ffff33,304.0,6,#ffff33,150.0
Mabeuf,Combeferre,2,6,#ffff33,150.0,6,#ffff33,150.0
Gavroche,Prouvaire,1,6,#ffff33,304.0,6,#ffff33,122.0
Enjolras,Prouvaire,4,6,#ffff33,206.0,6,#ffff33,122.0
Combeferre,Prouvaire,2,6,#ffff33,150.0,6,#ffff33,122.0
Gavroche,Feuilly,2,6,#ffff33,304.0,6,#ffff33,150.0
Enjolras,Feuilly,6,6,#ffff33,206.0,6,#ffff33,150.0
Prouvaire,Feuilly,2,6,#ffff33,122.0,6,#ffff33,150.0
Combeferre,Feuilly,5,6,#ffff33,150.0,6,#ffff33,150.0
Mabeuf,Feuilly,1,6,#ffff33,150.0,6,#ffff33,150.0
Marius,Feuilly,1,5,#ff7f00,262.0,6,#ffff33,150.0
Marius,Courfeyrac,9,5,#ff7f00,262.0,6,#ffff33,178.0
Enjolras,Courfeyrac,17,6,#ffff33,206.0,6,#ffff33,178.0
Combeferre,Courfeyrac,13,6,#ffff33,150.0,6,#ffff33,178.0
Gavroche,Courfeyrac,7,6,#ffff33,304.0,6,#ffff33,178.0
Mabeuf,Courfeyrac,2,6,#ffff33,150.0,6,#ffff33,178.0
Eponine,Courfeyrac,1,4,#984ea3,150.0,6,#ffff33,178.0
Feuilly,Courfeyrac,6,6,#ffff33,150.0,6,#ffff33,178.0
Prouvaire,Courfeyrac,3,6,#ffff33,122.0,6,#ffff33,178.0
Combeferre,Bahorel,5,6,#ffff33,150.0,6,#ffff33,164.0
Gavroche,Bahorel,5,6,#ffff33,304.0,6,#ffff33,164.0
Courfeyrac,Bahorel,6,6,#ffff33,178.0,6,#ffff33,164.0
Mabeuf,Bahorel,2,6,#ffff33,150.0,6,#ffff33,164.0
Enjolras,Bahorel,4,6,#ffff33,206.0,6,#ffff33,164.0
Feuilly,Bahorel,3,6,#ffff33,150.0,6,#ffff33,164.0
Prouvaire,Bahorel,2,6,#ffff33,122.0,6,#ffff33,164.0
Marius,Bahorel,1,5,#ff7f00,262.0,6,#ffff33,164.0
Marius,Bossuet,5,5,#ff7f00,262.0,6,#ffff33,178.0
Courfeyrac,Bossuet,12,6,#ffff33,178.0,6,#ffff33,178.0
Gavroche,Bossuet,5,6,#ffff33,304.0,6,#ffff33,178.0
Bahorel,Bossuet,4,6,#ffff33,164.0,6,#ffff33,178.0
Enjolras,Bossuet,10,6,#ffff33,206.0,6,#ffff33,178.0
Feuilly,Bossuet,6,6,#ffff33,150.0,6,#ffff33,178.0
Prouvaire,Bossuet,2,6,#ffff33,122.0,6,#ffff33,178.0
Combeferre,Bossuet,9,6,#ffff33,150.0,6,#ffff33,178.0
Mabeuf,Bossuet,1,6,#ffff33,150.0,6,#ffff33,178.0
Valjean,Bossuet,1,2,#377eb8,500.0,6,#ffff33,178.0
Bahorel,Joly,5,6,#ffff33,164.0,6,#ffff33,164.0
Bossuet,Joly,7,6,#ffff33,178.0,6,#ffff33,164.0
Gavroche,Joly,3,6,#ffff33,304.0,6,#ffff33,164.0
Courfeyrac,Joly,5,6,#ffff33,178.0,6,#ffff33,164.0
Enjolras,Joly,5,6,#ffff33,206.0,6,#ffff33,164.0
Feuilly,Joly,5,6,#ffff33,150.0,6,#ffff33,164.0
Prouvaire,Joly,2,6,#ffff33,122.0,6,#ffff33,164.0
Combeferre,Joly,5,6,#ffff33,150.0,6,#ffff33,164.0
Mabeuf,Joly,1,6,#ffff33,150.0,6,#ffff33,164.0
Marius,Joly,2,5,#ff7f00,262.0,6,#ffff33,164.0
Bossuet,Grantaire,3,6,#ffff33,178.0,6,#ffff33,136.0
Enjolras,Grantaire,3,6,#ffff33,206.0,6,#ffff33,136.0
Combeferre,Grantaire,1,6,#ffff33,150.0,6,#ffff33,136.0
Courfeyrac,Grantaire,2,6,#ffff33,178.0,6,#ffff33,136.0
Joly,Grantaire,2,6,#ffff33,164.0,6,#ffff33,136.0
Gavroche,Grantaire,1,6,#ffff33,304.0,6,#ffff33,136.0
Bahorel,Grantaire,1,6,#ffff33,164.0,6,#ffff33,136.0
Feuilly,Grantaire,1,6,#ffff33,150.0,6,#ffff33,136.0
Prouvaire,Grantaire,1,6,#ffff33,122.0,6,#ffff33,136.0
Mabeuf,MotherPlutarch,3,6,#ffff33,150.0,6,#ffff33,10.0
Thenardier,Gueulemer,5,4,#984ea3,220.0,4,#984ea3,136.0
Valjean,Gueulemer,1,2,#377eb8,500.0,4,#984ea3,136.0
MmeThenardier,Gueulemer,1,4,#984ea3,150.0,4,#984ea3,136.0
Javert,Gueulemer,1,4,#984ea3,234.0,4,#984ea3,136.0
Gavroche,Gueulemer,1,6,#ffff33,304.0,4,#984ea3,136.0
Eponine,Gueulemer,1,4,#984ea3,150.0,4,#984ea3,136.0
Thenardier,Babet,6,4,#984ea3,220.0,4,#984ea3,136.0
Gueulemer,Babet,6,4,#984ea3,136.0,4,#984ea3,136.0
Valjean,Babet,1,2,#377eb8,500.0,4,#984ea3,136.0
MmeThenardier,Babet,1,4,#984ea3,150.0,4,#984ea3,136.0
Javert,Babet,2,4,#984ea3,234.0,4,#984ea3,136.0
Gavroche,Babet,1,6,#ffff33,304.0,4,#984ea3,136.0
Eponine,Babet,1,4,#984ea3,150.0,4,#984ea3,136.0
Thenardier,Claquesous,4,4,#984ea3,220.0,4,#984ea3,136.0
Babet,Claquesous,4,4,#984ea3,136.0,4,#984ea3,136.0
Gueulemer,Claquesous,4,4,#984ea3,136.0,4,#984ea3,136.0
Valjean,Claquesous,1,2,#377eb8,500.0,4,#984ea3,136.0
MmeThenardier,Claquesous,1,4,#984ea3,150.0,4,#984ea3,136.0
Javert,Claquesous,1,4,#984ea3,234.0,4,#984ea3,136.0
Eponine,Claquesous,1,4,#984ea3,150.0,4,#984ea3,136.0
Enjolras,Claquesous,1,6,#ffff33,206.0,4,#984ea3,136.0
Javert,Montparnasse,1,4,#984ea3,234.0,4,#984ea3,122.0
Babet,Montparnasse,2,4,#984ea3,136.0,4,#984ea3,122.0
Gueulemer,Montparnasse,2,4,#984ea3,136.0,4,#984ea3,122.0
Claquesous,Montparnasse,2,4,#984ea3,136.0,4,#984ea3,122.0
Valjean,Montparnasse,1,2,#377eb8,500.0,4,#984ea3,122.0
Gavroche,Montparnasse,1,6,#ffff33,304.0,4,#984ea3,122.0
Eponine,Montparnasse,1,4,#984ea3,150.0,4,#984ea3,122.0
Thenardier,Montparnasse,1,4,#984ea3,220.0,4,#984ea3,122.0
Cosette,Toussaint,2,5,#ff7f00,150.0,2,#377eb8,38.0
Javert,Toussaint,1,4,#984ea3,234.0,2,#377eb8,38.0
Valjean,Toussaint,1,2,#377eb8,500.0,2,#377eb8,38.0
Gavroche,Child1,2,6,#ffff33,304.0,6,#ffff33,24.0
Gavroche,Child2,2,6,#ffff33,304.0,6,#ffff33,24.0
Child1,Child2,3,6,#ffff33,24.0,6,#ffff33,24.0
Babet,Brujon,3,4,#984ea3,136.0,4,#984ea3,94.0
Gueulemer,Brujon,3,4,#984ea3,136.0,4,#984ea3,94.0
Thenardier,Brujon,3,4,#984ea3,220.0,4,#984ea3,94.0
Gavroche,Brujon,1,6,#ffff33,304.0,4,#984ea3,94.0
Eponine,Brujon,1,4,#984ea3,150.0,4,#984ea3,94.0
Claquesous,Brujon,1,4,#984ea3,136.0,4,#984ea3,94.0
Montparnasse,Brujon,1,4,#984ea3,122.0,4,#984ea3,94.0
Bossuet,MmeHucheloup,1,6,#ffff33,178.0,6,#ffff33,94.0
Joly,MmeHucheloup,1,6,#ffff33,164.0,6,#ffff33,94.0
Grantaire,MmeHucheloup,1,6,#ffff33,136.0,6,#ffff33,94.0
Bahorel,MmeHucheloup,1,6,#ffff33,164.0,6,#ffff33,94.0
Courfeyrac,MmeHucheloup,1,6,#ffff33,178.0,6,#ffff33,94.0
Gavroche,MmeHucheloup,1,6,#ffff33,304.0,6,#ffff33,94.0
Enjolras,MmeHucheloup,1,6,#ffff33,206.0,6,#ffff33,94.0
