Id,Label,node,node_group,node_area,node_gender,node_level,node_group_color,node_area_color,node_gender_color,node_level_color,node_size,node_size_norm,node_position
21,Matrícula - 21,21,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,65,40,[-0.44399253  0.14283498]
22,Matrícula - 22,22,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,11,14,[-0.39791563  0.28096172]
23,Matrícula - 23,23,circle15,Finance,Feminino,Liderança,#60DF20,#8567C5,#13B40D,#76042C,17,17,[-0.59544873  0.09755604]
24,Matrícula - 24,24,circle16,Finance,Feminino,Especialista,#FE57B2,#8567C5,#13B40D,#E5F393,16,17,[-0.41908029  0.3942441 ]
25,Matrícula - 25,25,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,69,41,[-0.39828497  0.1640337 ]
26,Matrícula - 26,26,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,68,41,[-0.46817598  0.15826672]
27,Matrícula - 27,27,no_circle,Finance,Masculino,Executivo,#FC18FE,#8567C5,#D38644,#CCDD50,5,11,[-0.52000993  0.06582095]
28,Matrícula - 28,28,circle23,Finance,Masculino,Especialista,#3E4CCF,#8567C5,#D38644,#E5F393,13,15,[-0.69667619  0.019388  ]
29,Matrícula - 29,29,circle0,Finance,Feminino,Especialista,#05207E,#8567C5,#13B40D,#E5F393,13,15,[-0.53411114  0.10892859]
30,Matrícula - 30,30,no_circle,Finance,Feminino,Liderança,#FC18FE,#8567C5,#13B40D,#76042C,17,17,[-0.45020127  0.19405004]
31,Matrícula - 31,31,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,23,20,[-0.49307984  0.22135209]
32,Matrícula - 32,32,circle6,Finance,Feminino,Analista,#1773B7,#8567C5,#13B40D,#9C4048,6,12,[-0.78947556  0.13849698]
33,Matrícula - 33,33,circle19,Finance,Feminino,Especialista,#720499,#8567C5,#13B40D,#E5F393,2,10,[-0.58462822  0.45574591]
34,Matrícula - 34,34,circle11,Finance,Masculino,Analista,#1735D6,#8567C5,#D38644,#9C4048,5,11,[-0.08985496  0.03551954]
35,Matrícula - 35,35,circle6,Finance,Masculino,Analista,#1773B7,#8567C5,#D38644,#9C4048,2,10,[-0.54615331 -0.06684192]
36,Matrícula - 36,36,circle16,Finance,Feminino,Analista,#FE57B2,#8567C5,#13B40D,#9C4048,11,14,[-0.60435015  0.05037177]
37,Matrícula - 37,37,circle16,Finance,Masculino,Liderança,#FE57B2,#8567C5,#D38644,#76042C,1,10,[-0.78072315  0.29999715]
38,Matrícula - 38,38,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,9,13,[-0.42099845  0.301806  ]
39,Matrícula - 39,39,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,15,16,[-0.46152011  0.1793398 ]
40,Matrícula - 40,40,circle15,Finance,Feminino,Executivo,#60DF20,#8567C5,#13B40D,#CCDD50,44,30,[-0.44771588  0.18051606]
41,Matrícula - 41,41,circle19,Finance,Masculino,Especialista,#720499,#8567C5,#D38644,#E5F393,24,20,[-0.66280514  0.03647248]
42,Matrícula - 42,42,circle10,Finance,Masculino,Executivo,#940128,#8567C5,#D38644,#CCDD50,2,10,[-0.61818188  0.4397296 ]
43,Matrícula - 43,43,no_circle,Finance,Feminino,Analista,#FC18FE,#8567C5,#13B40D,#9C4048,1,10,[-0.75100213  0.33990094]
44,Matrícula - 44,44,circle19,Finance,Feminino,Especialista,#720499,#8567C5,#13B40D,#E5F393,6,12,[-0.75147575  0.08917528]
45,Matrícula - 45,45,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,12,15,[-0.55600834  0.21384215]
46,Matrícula - 46,46,circle7,Finance,Masculino,Analista,#5F5177,#8567C5,#D38644,#9C4048,5,11,[-0.23926337 -0.20494328]
47,Matrícula - 47,47,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,2,10,[-0.11975719  0.46760458]
48,Matrícula - 48,48,circle16,Finance,Feminino,Analista,#FE57B2,#8567C5,#13B40D,#9C4048,22,19,[-0.44996348  0.26630509]
49,Matrícula - 49,49,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,4,11,[-0.80146754  0.20303707]
50,Matrícula - 50,50,circle15,Finance,Feminino,Liderança,#60DF20,#8567C5,#13B40D,#76042C,11,14,[-0.51676255  0.11715794]
51,Matrícula - 51,51,circle3,Finance,Não informado,Liderança,#96E6BF,#8567C5,#B15009,#76042C,7,12,[-0.58559364  0.17042425]
52,Matrícula - 52,52,circle17,Finance,Masculino,Executivo,#505CAB,#8567C5,#D38644,#CCDD50,2,10,[-0.80519497  0.21508014]
53,Matrícula - 53,53,no_circle,Finance,Masculino,Liderança,#FC18FE,#8567C5,#D38644,#76042C,31,24,[-0.42593336  0.32203531]
54,Matrícula - 54,54,circle11,Finance,Feminino,Especialista,#1735D6,#8567C5,#13B40D,#E5F393,8,13,[-0.55393755  0.22150712]
55,Matrícula - 55,55,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,17,17,[-0.52148598  0.16397789]
56,Matrícula - 56,56,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,78,46,[-0.40195033  0.14282599]
57,Matrícula - 57,57,circle16,Finance,Feminino,Analista,#FE57B2,#8567C5,#13B40D,#9C4048,15,16,[-0.47366077  0.27040848]
58,Matrícula - 58,58,circle30,Finance,Feminino,Executivo,#18ED38,#8567C5,#13B40D,#CCDD50,12,15,[-0.07864028 -0.04212647]
59,Matrícula - 59,59,circle4,Finance,Masculino,Analista,#859786,#8567C5,#D38644,#9C4048,19,18,[-0.53507167  0.12729064]
60,Matrícula - 60,60,circle15,Finance,Feminino,Executivo,#60DF20,#8567C5,#13B40D,#CCDD50,8,13,[-0.55137533  0.23822092]
61,Matrícula - 61,61,circle0,Finance,Masculino,Liderança,#05207E,#8567C5,#D38644,#76042C,3,10,[-0.69774479  0.21399784]
62,Matrícula - 62,62,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,26,21,[-0.51580173  0.18748035]
63,Matrícula - 63,63,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,6,12,[-0.40243018  0.00440608]
64,Matrícula - 64,64,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,7,12,[-0.42315999 -0.02441976]
65,Matrícula - 65,65,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,12,15,[-0.56442082  0.20570052]
66,Matrícula - 66,66,circle11,Finance,Masculino,Analista,#1735D6,#8567C5,#D38644,#9C4048,15,16,[-0.38799232  0.09817086]
67,Matrícula - 67,67,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,76,45,[-0.44028851  0.17204574]
68,Matrícula - 68,68,circle13,Finance,Feminino,Analista,#B5FE1E,#8567C5,#13B40D,#9C4048,9,13,[-0.22150882 -0.05612881]
69,Matrícula - 69,69,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,10,14,[-0.49391764  0.24123849]
70,Matrícula - 70,70,circle11,Finance,Feminino,Analista,#1735D6,#8567C5,#13B40D,#9C4048,2,10,[-0.77952701  0.23012577]
71,Matrícula - 71,71,circle0,Finance,Masculino,Analista,#05207E,#8567C5,#D38644,#9C4048,3,10,[-0.74735856  0.25852031]
72,Matrícula - 72,72,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,24,20,[-0.47710139  0.12781644]
73,Matrícula - 73,73,circle9,Finance,Feminino,Especialista,#08766F,#8567C5,#13B40D,#E5F393,10,14,[-0.5445435   0.29134756]
74,Matrícula - 74,74,circle9,Finance,Feminino,Analista,#08766F,#8567C5,#13B40D,#9C4048,1,10,[-0.77917451  0.27993304]
75,Matrícula - 75,75,no_circle,Finance,Não informado,Analista,#FC18FE,#8567C5,#B15009,#9C4048,14,16,[-0.37049764  0.18347816]
76,Matrícula - 76,76,circle11,Finance,Feminino,Especialista,#1735D6,#8567C5,#13B40D,#E5F393,3,10,[-0.62654531  0.2373478 ]
77,Matrícula - 77,77,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,6,12,[-0.1492797   0.22584127]
78,Matrícula - 78,78,no_circle,Finance,Masculino,Especialista,#FC18FE,#8567C5,#D38644,#E5F393,9,13,[-0.58315521  0.39863834]
79,Matrícula - 79,79,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,12,15,[-0.53010714  0.1413057 ]
80,Matrícula - 80,80,circle16,Finance,Não informado,Analista,#FE57B2,#8567C5,#B15009,#9C4048,23,20,[-0.41670942  0.30600858]
81,Matrícula - 81,81,circle0,Finance,Feminino,Analista,#05207E,#8567C5,#13B40D,#9C4048,3,10,[-0.58386767  0.31267336]
82,Matrícula - 82,82,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,34,25,[-0.487984   0.1360324]
83,Matrícula - 83,83,circle3,Finance,Feminino,Analista,#96E6BF,#8567C5,#13B40D,#9C4048,7,12,[-0.61669284  0.20531352]
84,Matrícula - 84,84,circle4,Finance,Masculino,Especialista,#859786,#8567C5,#D38644,#E5F393,13,15,[-0.51281959  0.17881925]
85,Matrícula - 85,85,circle16,Finance,Feminino,Analista,#FE57B2,#8567C5,#13B40D,#9C4048,14,16,[-0.49881506  0.20907046]
86,Matrícula - 86,86,circle13,Finance,Feminino,Analista,#B5FE1E,#8567C5,#13B40D,#9C4048,6,12,[-0.31406564 -0.17196198]
87,Matrícula - 87,87,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,13,15,[-0.41254738  0.27805588]
88,Matrícula - 88,88,no_circle,Finance,Feminino,Analista,#FC18FE,#8567C5,#13B40D,#9C4048,20,18,[-0.44075     0.27143738]
89,Matrícula - 89,89,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,8,13,[-0.55040967 -0.11474133]
90,Matrícula - 90,90,circle17,Finance,Não informado,Analista,#505CAB,#8567C5,#B15009,#9C4048,2,10,[-0.72405213  0.35632214]
91,Matrícula - 91,91,no_circle,Finance,Masculino,Analista,#FC18FE,#8567C5,#D38644,#9C4048,8,13,[-0.72753596  0.32735521]
92,Matrícula - 92,92,circle16,Finance,Masculino,Liderança,#FE57B2,#8567C5,#D38644,#76042C,21,19,[-0.41745645  0.38285336]
93,Matrícula - 93,93,circle19,Finance,Feminino,Especialista,#720499,#8567C5,#13B40D,#E5F393,8,13,[-0.7744503   0.11621771]
94,Matrícula - 94,94,circle16,Finance,Masculino,Especialista,#FE57B2,#8567C5,#D38644,#E5F393,22,19,[-0.42168087  0.33488169]
95,Matrícula - 95,95,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,6,12,[-0.45941287 -0.19406046]
96,Matrícula - 96,96,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,9,13,[-0.58854192  0.21287662]
97,Matrícula - 97,97,circle11,Finance,Masculino,Analista,#1735D6,#8567C5,#D38644,#9C4048,3,10,[-0.75357187  0.24745242]
98,Matrícula - 98,98,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,49,32,[-0.45356858  0.14075588]
99,Matrícula - 99,99,circle2,Finance,Feminino,Analista,#03B790,#8567C5,#13B40D,#9C4048,13,15,[-0.35857549 -0.0543375 ]
100,Matrícula - 100,100,no_circle,Finance,Masculino,Liderança,#FC18FE,#8567C5,#D38644,#76042C,9,13,[-0.51446611  0.02237322]
101,Matrícula - 101,101,circle16,Finance,Feminino,Analista,#FE57B2,#8567C5,#13B40D,#9C4048,19,18,[-0.44167164  0.39395905]
102,Matrícula - 102,102,no_circle,Finance,Masculino,Analista,#FC18FE,#8567C5,#D38644,#9C4048,6,12,[-0.42563674  0.02174162]
103,Matrícula - 103,103,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,16,17,[-0.43507096  0.20661663]
104,Matrícula - 104,104,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,32,24,[-0.49642575  0.16726077]
105,Matrícula - 105,105,circle17,Finance,Masculino,Liderança,#505CAB,#8567C5,#D38644,#76042C,14,16,[-0.5072729   0.20682767]
106,Matrícula - 106,106,no_circle,Finance,Não informado,Especialista,#FC18FE,#8567C5,#B15009,#E5F393,8,13,[-0.46676975  0.09616873]
107,Matrícula - 107,107,circle6,People,Feminino,Especialista,#1773B7,#0CF2DE,#13B40D,#E5F393,1045,500,[ 0.06538033 -0.05103593]
108,Matrícula - 108,108,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,13,15,[-0.56523418  0.10266542]
109,Matrícula - 109,109,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,37,26,[-0.49342799  0.16999975]
110,Matrícula - 110,110,circle0,Finance,Masculino,Executivo,#05207E,#8567C5,#D38644,#CCDD50,5,11,[-0.68441725  0.36676291]
111,Matrícula - 111,111,circle6,Finance,Masculino,Especialista,#1773B7,#8567C5,#D38644,#E5F393,14,16,[-0.74293435  0.07529398]
112,Matrícula - 112,112,no_circle,Finance,Masculino,Analista,#FC18FE,#8567C5,#D38644,#9C4048,3,10,[-0.73765606  0.10795372]
113,Matrícula - 113,113,circle11,Finance,Masculino,Analista,#1735D6,#8567C5,#D38644,#9C4048,40,28,[-0.35667199  0.1113617 ]
114,Matrícula - 114,114,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,1,10,[-0.6662029   0.41646087]
115,Matrícula - 115,115,circle19,Finance,Feminino,Especialista,#720499,#8567C5,#13B40D,#E5F393,21,19,[-0.66915905  0.02834148]
116,Matrícula - 116,116,circle2,Finance,Não informado,Especialista,#03B790,#8567C5,#B15009,#E5F393,17,17,[-0.6805588   0.02880589]
117,Matrícula - 117,117,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,6,12,[-0.26677883  0.30542731]
118,Matrícula - 118,118,circle11,Finance,Masculino,Especialista,#1735D6,#8567C5,#D38644,#E5F393,36,26,[-0.48050576  0.12048598]
119,Matrícula - 119,119,circle15,Finance,Feminino,Especialista,#60DF20,#8567C5,#13B40D,#E5F393,62,38,[-0.4248791   0.11956988]
120,Matrícula - 120,120,no_circle,Finance,Masculino,Liderança,#FC18FE,#8567C5,#D38644,#76042C,4,11,[-0.50432408  0.27535316]
121,Matrícula - 121,121,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,12,15,[-0.33929807  0.19856685]
122,Matrícula - 122,122,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,63,39,[-0.45033553  0.1623598 ]
123,Matrícula - 123,123,circle15,Finance,Masculino,Executivo,#60DF20,#8567C5,#D38644,#CCDD50,18,17,[-0.50441635  0.13319618]
124,Matrícula - 124,124,circle15,Finance,Feminino,Liderança,#60DF20,#8567C5,#13B40D,#76042C,4,11,[-0.65519238  0.17948255]
125,Matrícula - 125,125,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,4,11,[-0.46518144  0.27360955]
126,Matrícula - 126,126,circle17,Finance,Feminino,Liderança,#505CAB,#8567C5,#13B40D,#76042C,7,12,[-0.50374621  0.35219705]
127,Matrícula - 127,127,circle16,Finance,Não informado,Liderança,#FE57B2,#8567C5,#B15009,#76042C,16,17,[-0.53043526  0.08161745]
128,Matrícula - 128,128,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,28,22,[-0.50151956  0.14733523]
129,Matrícula - 129,129,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,7,12,[-0.49703506  0.33736655]
130,Matrícula - 130,130,no_circle,Finance,Masculino,Analista,#FC18FE,#8567C5,#D38644,#9C4048,16,17,[-0.48149607  0.28084618]
131,Matrícula - 131,131,circle13,Finance,Feminino,Liderança,#B5FE1E,#8567C5,#13B40D,#76042C,7,12,[-0.30315092 -0.17219774]
132,Matrícula - 132,132,circle0,Finance,Masculino,Especialista,#05207E,#8567C5,#D38644,#E5F393,16,17,[-0.50394493  0.20833459]
133,Matrícula - 133,133,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,18,17,[-0.52542806  0.2147882 ]
134,Matrícula - 134,134,circle11,Finance,Feminino,Especialista,#1735D6,#8567C5,#13B40D,#E5F393,19,18,[-0.42815387  0.10654054]
135,Matrícula - 135,135,circle16,Finance,Masculino,Analista,#FE57B2,#8567C5,#D38644,#9C4048,10,14,[-0.60805321  0.04873734]
136,Matrícula - 136,136,circle38,Vendas,Masculino,Liderança,#30A79A,#F3405D,#D38644,#76042C,133,71,[-0.15757504  0.21273321]
137,Matrícula - 137,137,circle19,Finance,Masculino,Analista,#720499,#8567C5,#D38644,#9C4048,16,17,[-0.74303043  0.07456031]
138,Matrícula - 138,138,circle13,Finance,Não informado,Analista,#B5FE1E,#8567C5,#B15009,#9C4048,2,10,[-0.1121999  -0.08342877]
139,Matrícula - 139,139,circle16,Finance,Feminino,Analista,#FE57B2,#8567C5,#13B40D,#9C4048,9,13,[-0.60572082  0.05878256]
140,Matrícula - 140,140,circle2,Finance,Não informado,Analista,#03B790,#8567C5,#B15009,#9C4048,11,14,[-0.70328599  0.03424845]
141,Matrícula - 141,141,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,28,22,[-0.46206889  0.18319562]
142,Matrícula - 142,142,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,43,29,[-0.4732585   0.17263031]
143,Matrícula - 143,143,circle13,Finance,Não informado,Analista,#B5FE1E,#8567C5,#B15009,#9C4048,12,15,[-0.28763241 -0.08816238]
144,Matrícula - 144,144,circle2,Finance,Masculino,Liderança,#03B790,#8567C5,#D38644,#76042C,15,16,[-0.65536052  0.00454976]
145,Matrícula - 145,145,circle17,Finance,Masculino,Liderança,#505CAB,#8567C5,#D38644,#76042C,2,10,[-0.76939178  0.29963621]
146,Matrícula - 146,146,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,10,14,[-0.46229538  0.24559951]
147,Matrícula - 147,147,circle2,Finance,Masculino,Especialista,#03B790,#8567C5,#D38644,#E5F393,6,12,[-0.61846435 -0.09340014]
148,Matrícula - 148,148,circle15,Finance,Feminino,Executivo,#60DF20,#8567C5,#13B40D,#CCDD50,20,18,[-0.51411778  0.16284932]
149,Matrícula - 149,149,circle23,Finance,Masculino,Analista,#3E4CCF,#8567C5,#D38644,#9C4048,14,16,[-0.7456578   0.05399407]
150,Matrícula - 150,150,circle2,Finance,Feminino,Especialista,#03B790,#8567C5,#13B40D,#E5F393,11,14,[-0.39995456  0.0088172 ]
151,Matrícula - 151,151,circle11,Finance,Não informado,Analista,#1735D6,#8567C5,#B15009,#9C4048,7,12,[-0.73075616  0.03486963]
152,Matrícula - 152,152,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,5,11,[-0.63102782  0.35431802]
153,Matrícula - 153,153,no_circle,Finance,Feminino,Executivo,#FC18FE,#8567C5,#13B40D,#CCDD50,2,10,[-0.45464799  0.41707471]
154,Matrícula - 154,154,circle9,Finance,Feminino,Especialista,#08766F,#8567C5,#13B40D,#E5F393,2,10,[-0.72925568  0.12788704]
155,Matrícula - 155,155,circle2,Finance,Masculino,Analista,#03B790,#8567C5,#D38644,#9C4048,3,10,[-0.76545948  0.18033133]
156,Matrícula - 156,156,circle4,Finance,Masculino,Especialista,#859786,#8567C5,#D38644,#E5F393,12,15,[-0.48271519  0.2384187 ]
157,Matrícula - 157,157,circle15,Finance,Não informado,Analista,#60DF20,#8567C5,#B15009,#9C4048,3,10,[-0.73099649  0.23042046]
158,Matrícula - 158,158,circle11,Finance,Masculino,Liderança,#1735D6,#8567C5,#D38644,#76042C,25,21,[-0.471396    0.23037627]
159,Matrícula - 159,159,no_circle,Finance,Feminino,Liderança,#FC18FE,#8567C5,#13B40D,#76042C,14,16,[-0.48128766  0.04637692]
160,Matrícula - 160,160,no_circle,Finance,Não informado,Liderança,#FC18FE,#8567C5,#B15009,#76042C,2,10,[-0.5148387   0.46244913]
161,Matrícula - 161,161,circle11,Finance,Feminino,Analista,#1735D6,#8567C5,#13B40D,#9C4048,25,21,[-0.48216802  0.19375272]
162,Matrícula - 162,162,circle23,Finance,Feminino,Liderança,#3E4CCF,#8567C5,#13B40D,#76042C,8,13,[-0.750552    0.07894994]
163,Matrícula - 163,163,circle0,Finance,Feminino,Especialista,#05207E,#8567C5,#13B40D,#E5F393,6,12,[-0.40259677  0.09604397]
164,Matrícula - 164,164,circle9,Finance,Masculino,Analista,#08766F,#8567C5,#D38644,#9C4048,3,10,[-0.47840428  0.38444808]
165,Matrícula - 165,165,circle11,Finance,Não informado,Analista,#1735D6,#8567C5,#B15009,#9C4048,11,14,[-0.26264656  0.06493346]
166,Matrícula - 166,166,no_circle,Finance,Feminino,Executivo,#FC18FE,#8567C5,#13B40D,#CCDD50,4,11,[-0.25944632  0.17413756]
167,Matrícula - 167,167,no_circle,Finance,Feminino,Especialista,#FC18FE,#8567C5,#13B40D,#E5F393,7,12,[-0.777816    0.12322036]
168,Matrícula - 168,168,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,11,14,[-0.4741717   0.29799217]
169,Matrícula - 169,169,circle15,Finance,Masculino,Especialista,#60DF20,#8567C5,#D38644,#E5F393,38,27,[-0.44205636  0.18829612]
170,Matrícula - 170,170,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,46,31,[-0.46350008  0.17026639]
171,Matrícula - 171,171,circle1,Finance,Feminino,Analista,#B6766C,#8567C5,#13B40D,#9C4048,22,19,[-0.05918727 -0.09688338]
172,Matrícula - 172,172,circle17,Finance,Masculino,Executivo,#505CAB,#8567C5,#D38644,#CCDD50,41,28,[-0.47942579  0.12563834]
173,Matrícula - 173,173,circle2,Finance,Masculino,Especialista,#03B790,#8567C5,#D38644,#E5F393,12,15,[-0.08643389  0.09998377]
174,Matrícula - 174,174,circle20,Finance,Masculino,Especialista,#75BB2A,#8567C5,#D38644,#E5F393,4,11,[-0.73735237  0.10794134]
175,Matrícula - 175,175,circle14,Finance,Masculino,Especialista,#D5C312,#8567C5,#D38644,#E5F393,17,17,[-0.32493153 -0.03345804]
176,Matrícula - 176,176,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,14,16,[-0.5573473   0.18165955]
177,Matrícula - 177,177,circle18,Finance,Feminino,Analista,#C63FF8,#8567C5,#13B40D,#9C4048,11,14,[-0.2709482  -0.15030067]
178,Matrícula - 178,178,no_circle,Finance,Masculino,Especialista,#FC18FE,#8567C5,#D38644,#E5F393,13,15,[-0.44301182  0.25066206]
179,Matrícula - 179,179,circle17,Finance,Feminino,Analista,#505CAB,#8567C5,#13B40D,#9C4048,3,10,[-0.77159119  0.32325107]
180,Matrícula - 180,180,circle16,Finance,Masculino,Especialista,#FE57B2,#8567C5,#D38644,#E5F393,20,18,[-0.45676485  0.38312063]
181,Matrícula - 181,181,no_circle,Finance,Masculino,Liderança,#FC18FE,#8567C5,#D38644,#76042C,10,14,[-0.66526455  0.38917834]
182,Matrícula - 182,182,no_circle,Finance,Feminino,Liderança,#FC18FE,#8567C5,#13B40D,#76042C,3,10,[-0.80481434  0.26246253]
183,Matrícula - 183,183,circle15,Finance,Masculino,Analista,#60DF20,#8567C5,#D38644,#9C4048,2,10,[-0.6623705   0.28466943]
184,Matrícula - 184,184,no_circle,Finance,Feminino,Analista,#FC18FE,#8567C5,#13B40D,#9C4048,18,17,[-0.49027035  0.07645895]
185,Matrícula - 185,185,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,26,21,[-0.46821699  0.19155084]
186,Matrícula - 186,186,circle15,Finance,Masculino,Liderança,#60DF20,#8567C5,#D38644,#76042C,44,30,[-0.48745403  0.17799108]
187,Matrícula - 187,187,circle16,Finance,Masculino,Especialista,#FE57B2,#8567C5,#D38644,#E5F393,16,17,[-0.45401123  0.39867124]
188,Matrícula - 188,188,circle15,Finance,Feminino,Analista,#60DF20,#8567C5,#13B40D,#9C4048,48,32,[-0.46285823  0.16598222]
